0370 S L63 C7 H118 #869062
0371 S L65 C14 H115 #8c9713
0372 R L68 C18 H114 #99a100
0373 S L69 C14 H105 #aaa11a
0374 S L71 C10 H109 #a6a65b
0375 P L74 C16 H109 #b2b100
0376 R L75 C21 H120 #a2bd00
0377 S L77 C10 H118 #aebc73
0378 P L78 C19 H111 #bfc000
0379 S L79 C14 H112 #bdc249
0380 S L82 C12 H117 #becd73
0381 P L82 C20 H107 #d3cb00
0382 S L83 C4 H116 #c5cbab
0383 P L83 C20 H118 #bdd600
0384 S L83 C15 H111 #ced154
0385 S L85 C17 H118 #c4db44
0386 S L86 C17 H106 #e0d73a
0387 R L86 C23 H112 #d6de00
0388 S L88 C15 H115 #d3e265
0389 S L88 C11 H113 #d9e189
0390 S L90 C18 H118 #d3ec4d
0391 P L90 C22 H116 #d8ed00
0392 S L91 C7 H119 #dde9b4
0393 S L93 C15 H111 #ecf075
0394 P L93 C22 H109 #f3f100
0395 R L93 C26 H119 #d9fb00
0396 S L93 C18 H107 #f7f03e
0397 S L95 C8 H106 #f3f1b4
0398 P L96 C14 H117 #ecff91
0399 S L96 C21 H111 #faff17
0400 R L97 C25 H111 #fcff32
0401 R L97 C10 H118 #f0ffb8
0402 R L31 C10 H129 #223800
0403 S L35 C8 H124 #33410e
0404 P L37 C10 H126 #334800
0405 R L44 C14 H131 #395f00
0406 S L50 C12 H127 #526f13
0407 S L51 C5 H124 #606a4d
0408 R L52 C17 H133 #467800
0409 R L53 C15 H120 #627500
0410 R L56 C18 H131 #538400
0411 S L56 C13 H128 #5f8125
0412 P L59 C17 H130 #5e9000
0413 S L60 C14 H123 #718d18
0414 R L62 C18 H122 #779300
0415 S L64 C10 H123 #80974c
0416 R L65 C19 H124 #7ca000
0417 S L68 C6 H127 #90a07a
0418 S L68 C12 H125 #88a64e
0419 P L68 C19 H132 #6cb000
0420 S L71 C9 H132 #8bac73
0421 S L71 C17 H124 #8bb116
0422 S L72 C14 H125 #90b249
0423 P L73 C20 H131 #7abf00
0424 R L74 C25 H133 #75c400
0425 S L74 C7 H128 #9fb487
0426 S L76 C15 H123 #a0c04a
0427 S L76 C20 H132 #80cb21
0428 P L77 C24 H131 #82ce00
0429 S L78 C13 H131 #9ac76f
0430 S L79 C5 H127 #b2c29e
0431 P L79 C23 H124 #a2cf00
0432 S L81 C17 H123 #acd145
0433 S L82 C19 H132 #95de47
0434 R L84 C25 H127 #a2e100
0435 S L84 C8 H120 #c3d397
0436 S L85 C14 H124 #badd70
0437 P L86 C21 H120 #c1e400
0438 S L88 C19 H130 #adef55
0439 S L88 C6 H130 #cae1b6
0440 P L89 C25 H123 #c0f000
0441 S L90 C10 H135 #c2ecaa
0442 R L91 C27 H132 #a1ff1b
0443 S L91 C23 H129 #b3fe25
0444 S L92 C14 H133 #bef895
0445 S L93 C19 H124 #cefc5f
0446 P L94 C16 H126 #d4ff89
0447 S L95 C10 H130 #d6fbb2
0448 S L19 C5 H138 #071902
0449 R L21 C9 H150 #001f08
0450 S L28 C4 H147 #182e1a
0451 R L31 C14 H149 #003c15
0452 S L34 C10 H145 #074411
0453 P L34 C14 H144 #00460a
0454 P L38 C12 H140 #165000
0455 S L38 C8 H142 #274e24
0456 R L39 C16 H143 #005607
0457 S L41 C5 H138 #3d5336
0458 S L43 C11 H137 #315c1d
0459 P L43 C14 H149 #006127
0460 R L45 C18 H142 #0a6800
0461 S L47 C10 H137 #40672e
0462 S L48 C13 H138 #326f16
0463 S L48 C7 H148 #416a47
0464 P L50 C18 H144 #007818
0465 R L51 C24 H148 #007b2e
0466 R L53 C22 H143 #008306
0467 S L54 C11 H137 #4e7b3b
0468 R L55 C26 H149 #008738
0469 S L56 C15 H140 #3e882b
0470 P L56 C22 H142 #178e00
0471 S L57 C10 H138 #5b864c
0472 S L58 C18 H142 #23941d
0473 P L59 C21 H148 #00963b
0474 R L59 C27 H147 #009833
0475 S L60 C15 H142 #45973d
0476 R L62 C25 H142 #07a200
0477 P L63 C20 H137 #49a300
0478 R L64 C29 H149 #00a746
0479 S L64 C10 H143 #689b65
0480 S L64 C13 H136 #679f49
0481 S L65 C16 H145 #40a74a
0482 S L66 C19 H146 #20b040
0483 P L66 C21 H137 #4bae00
0484 P L67 C23 H144 #00b324
0485 S L68 C12 H149 #5ead6f
0486 S L68 C16 H139 #5eb048
0487 P L69 C28 H145 #00bb2f
0488 P L70 C23 H135 #60b900
0489 S L71 C20 H143 #3abe3d
0490 R L71 C27 H139 #45c100
0491 R L72 C31 H144 #00c62f
0492 R L72 C35 H148 #00c551
